condition,nbin,feature,I_raw,I_null,I_corrected,n_used
within_F,3,F0,0.9354293770962032,0.15794442614941942,0.7774849509467838,1920
within_F,3,jitter,0.43010766876373463,0.15755161646720184,0.2725560522965328,1920
within_F,3,shimmer,0.34723731882807307,0.15757599778564862,0.18966132104242445,1920
within_F,3,GCT,0.4927593410650548,0.15926397636950432,0.3334953646955505,1920
within_F,3,CQ,0.41542519387214494,0.15759202740064576,0.2578331664714992,1920
within_F,3,MFDR,0.8787564756880464,0.15741441852189061,0.7213420571661557,1920
within_F,3,SQ,0.5115090537296858,0.15571773647279297,0.35579131725689284,1920
within_F,3,NAQ,0.4313635306559842,0.158642728099912,0.27272080255607223,1920
within_F,3,SHR,0.6360682036668255,0.1562760592092942,0.47979214445753127,1920
within_F,3,IHI,0.7534272353159519,0.1582970996379117,0.5951301356780402,1920
within_F,3,VFI,0.5805747101402972,0.24502598453922697,0.3355487256010702,1920
within_F,3,semitone_SD_F0,0.49309980992974545,0.1584376223492951,0.33466218758045035,1920
within_F,3,F1,0.2629073642398012,0.15808590064171876,0.10482146359808245,1920
within_F,3,F2,0.29529871773630223,0.1575314138524193,0.13776730388388292,1920
within_F,3,F3,0.536952774703332,0.15739764677170562,0.3795551279316264,1920
within_F,3,F4,0.7220239966199831,0.1601372348482053,0.5618867617717778,1920
within_F,3,F5,0.6833899261070009,0.15801939377858445,0.5253705323284165,1920
within_F,3,B1,0.5439148554779951,0.15805252605735023,0.3858623294206449,1920
within_F,3,B2,0.4307855005068344,0.1585767199973721,0.2722087805094623,1920
within_F,3,B3,0.5809629270104804,0.15923932037997354,0.4217236066305068,1920
within_F,3,B4,0.48009541482837115,0.15814538635171987,0.3219500284766513,1920
within_F,3,B5,0.4636437978637673,0.15802741626477781,0.3056163815989895,1920
within_F,3,Nasality,0.3880635921086002,0.16196096780170122,0.22610262430689898,1905
within_F,3,spectral_skewness,0.471874322181292,0.15869572245858465,0.31317859972270734,1913
within_F,3,spectral_kurtosis,0.5214497439647374,0.1582511899083999,0.3631985540563375,1920
within_F,3,spectral_entropy,0.47667210429559503,0.15574968417644602,0.320922420119149,1920
within_F,3,spectral_rolloff,0.30230760574930926,0.15727727614386267,0.1450303296054466,1920
within_F,3,spectral_flux,0.8335443876600728,0.15812241342326183,0.6754219742368109,1920
within_F,3,alpha_ratio,0.3261584855107671,0.15850158267238107,0.16765690283838602,1920
within_F,3,LHR,0.5212272089313403,0.15715376465688113,0.3640734442744592,1920
within_F,3,SPI,0.442918095984445,0.15684976792508362,0.28606832805936133,1920
